Program TL1 green;Program TL1 yellow;Program TL1 red;Program TL2 green;Program TL2 yellow;Program TL2 red;Program TL3 green;Program TL3 yellow;Program TL3 red;Highway Flow [veh/h];Ramp1 Flow [veh/h];Ramp2 Flow [veh/h];Ramp3 Flow [veh/h];hwLoop10MeanSpeed;hwLoop10VehicleNum;hwLoop11MeanSpeed;hwLoop11VehicleNum;hwLoop20MeanSpeed;hwLoop20VehicleNum;hwLoop21MeanSpeed;hwLoop21VehicleNum;hwLoop30MeanSpeed;hwLoop30VehicleNum;hwLoop31MeanSpeed;hwLoop31VehicleNum;hwLoop40MeanSpeed;hwLoop40VehicleNum;hwLoop41MeanSpeed;hwLoop41VehicleNum;rampLoop1MeanSpeed;rampLoop1VehicleNum;rampLoop2MeanSpeed;rampLoop2VehicleNum;rampLoop3MeanSpeed;rampLoop3VehicleNum;fill
60;5;25;45;5;10;45;5;10;800;240;160;280;34.019965859180274;444;38.13304225925482;354;30.992106636150293;618;37.71601593445766;426;31.082308121551307;618;36.57572474562575;576;29.82998233071814;768;36.336680595696386;714;9.720362524491978;240;8.754381335667226;162;7.482913829102739;282;,,
45;5;40;60;5;25;45;5;10;800;240;160;280;33.71557954099804;426;36.74695943994473;372;31.14231960783395;594;36.67038366911772;438;30.903456009456445;630;36.02366018760465;570;28.90126859915424;672;34.827484377897285;822;9.863126319444081;240;11.59078643835968;162;10.993429300511503;288;,,
45;5;40;30;5;25;30;5;25;2000;160;360;80;33.972192476357854;846;35.88383281748484;1110;32.00171167870207;948;35.875889164880284;1158;28.46779748761232;1068;35.263224277654956;1332;30.806365270536695;924;34.664058594756355;1470;8.227922075117572;168;10.489659915703717;366;11.287354539321742;84;,,
45;5;40;45;5;10;45;5;40;2000;160;360;80;34.14451819087147;876;35.67665753602745;1116;31.840777726048344;960;36.27942533968732;1200;28.107751056920325;1068;34.3322541387826;1440;30.814041053105846;1080;34.71392646491132;1506;7.4534541805720735;162;8.728764117643644;354;10.069222168607944;78;,,
45;5;10;60;5;25;30;5;25;2000;160;360;80;33.618411613272514;870;35.62764116069481;1134;31.201925220491752;924;35.74184110388737;1230;27.25069966562265;1098;34.308443799780584;1422;30.073413443290857;1002;34.47388776624666;1602;8.18498801303061;162;10.071155817825796;366;9.513641032527183;78;,,
45;5;10;45;5;10;60;5;25;2000;40;240;400;34.57337019698724;894;35.637677825036214;1104;32.826281019758156;936;35.87608625631908;1122;28.239232222624615;936;33.87470670302902;1368;27.338692389245335;1176;34.04818553567754;1524;11.19221479278567;54;10.130389380740825;246;8.164412409828719;390;,,
45;5;10;45;5;40;45;5;40;2000;40;240;400;34.270717325576506;840;36.028017834563755;1158;33.280875920815404;894;36.417634334749046;1146;29.27547539646558;984;35.14838349827608;1278;26.66118015763848;1110;34.302145946196696;1578;12.580574877648445;42;11.65068422226892;240;9.286790021633854;414;,,
45;5;40;30;5;25;45;5;40;2000;40;240;400;33.82629429985421;870;35.66007980323177;1134;32.82763134426782;906;36.01688888426941;1128;29.807693017320073;972;35.034095379545356;1302;27.51771340123189;1158;34.586696144585154;1500;13.690382785448174;36;8.178212208841261;234;8.975645895980193;384;,,
45;5;40;30;5;25;45;5;10;4000;160;120;400;27.29160341219234;1524;29.8150408232504;2328;25.157456382020822;1674;31.089184613167557;2328;27.812468665516292;1722;31.9474866720031;2268;22.634037193519166;1872;30.62265553736576;2388;8.269535296457851;162;9.205196804649265;132;8.98826840362321;420;,,
45;5;10;60;5;25;30;5;25;4000;160;120;400;28.286397623200347;1644;30.630975423626253;2376;28.112245658949785;1758;31.618905098183028;2394;26.803709501527184;1842;32.116848133989;2460;22.688454644479357;2082;31.100269743039306;2574;8.43298803799666;168;9.665938491089411;120;10.43910100220128;402;,,
